Date,AAPL close,AAPL signal,Cash,AAPL shorted,AAPL bought,AAPL cash,AAPL sold,Daily_Ret
2000-01-03,0.9994419813156128,0,20000.0,0,0,20000.0,0,
2000-01-04,0.9151785969734192,0,20000.0,0,0,20000.0,0,0.0
2000-01-05,0.9285714030265808,0,20000.0,0,0,20000.0,0,0.0
2000-01-06,0.8482142686843872,0,20000.0,0,0,20000.0,0,0.0
2000-01-07,0.8883928656578064,0,20000.0,0,0,20000.0,0,0.0
2000-01-10,0.8727678656578064,0,20000.0,0,0,20000.0,0,0.0
2000-01-11,0.828125,0,20000.0,0,0,20000.0,0,0.0
2000-01-12,0.7784598469734192,0,20000.0,0,0,20000.0,0,0.0
2000-01-13,0.8638392686843872,0,20000.0,0,0,20000.0,0,0.0
2000-01-14,0.8967633843421936,0,20000.0,0,0,20000.0,0,0.0
2000-01-18,0.9280133843421936,0,20000.0,0,0,20000.0,0,0.0
2000-01-19,0.9514508843421936,0,20000.0,0,0,20000.0,0,0.0
2000-01-20,1.0133928060531616,0,20000.0,0,0,20000.0,0,0.0
2000-01-21,0.9938616156578064,0,20000.0,0,0,20000.0,0,0.0
2000-01-24,0.9486607313156128,0,20000.0,0,0,20000.0,0,0.0
2000-01-25,1.0022321939468384,0,20000.0,0,0,20000.0,0,0.0
2000-01-26,0.9838169813156128,0,20000.0,0,0,20000.0,0,0.0
2000-01-27,0.9821428656578064,0,20000.0,0,0,20000.0,0,0.0
2000-01-28,0.9073660969734192,0,20000.0,0,0,20000.0,0,0.0
2000-01-31,0.9263392686843872,0,20000.0,0,0,20000.0,0,0.0
2000-02-01,0.8950892686843872,0,20000.0,0,0,20000.0,0,0.0
2000-02-02,0.8822544813156128,0,20000.0,0,0,20000.0,0,0.0
2000-02-03,0.9224330186843872,0,20000.0,0,0,20000.0,0,0.0
2000-02-04,0.9642857313156128,0,20000.0,0,0,20000.0,0,0.0
2000-02-07,1.0184152126312256,0,20000.0,0,0,20000.0,0,0.0
2000-02-08,1.0256696939468384,0,20000.0,0,0,20000.0,0,0.0
2000-02-09,1.0055803060531616,0,20000.0,0,0,20000.0,0,0.0
2000-02-10,1.0133928060531616,0,20000.0,0,0,20000.0,0,0.0
2000-02-11,0.9709821343421936,0,20000.0,0,0,20000.0,0,0.0
